"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Roof.Style","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","Bsmt.Unf.SF","Total.Bsmt.SF","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Gr.Liv.Area","Bedroom.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Fence","SalePrice","Porch.SF","Tot.Bath","House.Age"
"60","RL",75,10000,"No alley","Other","Lvl","Other","Gtl","Gilbert","Norm","1Fam","Other",6,5,"Gable","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No",763,763,"Other","Y","SBrkr",763,892,1655,3,"TA",7,"Typ",1,"TA","Attchd","Fin","2","440","TA","TA","Y",157,"No fence",175900,84,2.5,16
"20","RL",0,7980,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",6,7,"Gable","HdBoard","HdBoard","None",0,"TA","Other","PConc","Gd","TA","No",233,1168,"Ex","Y","SBrkr",1187,0,1187,3,"TA",6,"Typ",0,"No fireplace","Attchd","Fin","2","420","TA","TA","Y",483,"Other",185000,21,3,3
"60","RL",63,8402,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No",789,789,"Other","Y","SBrkr",789,676,1465,3,"TA",7,"Typ",1,"Gd","Attchd","Fin","2","393","TA","TA","Y",0,"No fence",180400,75,2.5,12
"20","RL",85,10176,"No alley","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",7,5,"Gable","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Other",663,1300,"Other","Y","SBrkr",1341,0,1341,2,"Other",5,"Typ",1,"Other","Attchd","Unf","2","506","TA","TA","Y",192,"No fence",171500,0,2.5,20
"120","RL",0,6820,"No alley","Other","Lvl","Other","Gtl","StoneBr","Norm","Other","1Story",8,5,"Gable","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","Other",0,1488,"TA","Y","SBrkr",1502,0,1502,1,"Other",4,"Typ",0,"No fireplace","Attchd","RFn","2","528","TA","TA","Y",0,"No fence",212000,194,2.5,25
"60","RL",47,53504,"No alley","Other","Other","Other","Other","StoneBr","Norm","1Fam","Other",8,5,"Other","CemntBd","Wd Shng","Other",603,"Other","TA","PConc","Gd","TA","Other",234,1650,"Ex","Y","SBrkr",1690,1589,3279,4,"Other",12,"Other",1,"Gd","Other","Fin","Other","841","TA","TA","Y",503,"No fence",538000,246,4.5,7
"50","RL",152,12134,"No alley","Other","Other","Inside","Other","Gilbert","Norm","1Fam","Other",8,7,"Gable","Wd Sdng","Wd Sdng","None",0,"Other","TA","Other","Gd","TA","Other",132,559,"Other","Y","SBrkr",1080,672,1752,4,"TA",8,"Typ",0,"No fireplace","Other","RFn","2","492","TA","TA","Y",325,"No fence",164000,12,2,5
"20","RL",140,19138,"No alley","Reg","Lvl","Other","Gtl","Gilbert","Norm","1Fam","1Story",4,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No",744,864,"Ex","Y","SBrkr",864,0,864,2,"TA",4,"Typ",0,"No fireplace","Other","Unf","2","400","TA","TA","Y",0,"No fence",141000,0,1,59
"20","RL",85,13175,"No alley","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,"Gable","Plywood","Plywood","Other",119,"TA","TA","CBlock","Gd","TA","No",589,1542,"TA","Y","SBrkr",2073,0,2073,3,"TA",7,"Other",2,"TA","Attchd","Unf","2","500","TA","TA","Y",349,"Other",210000,0,3,22
"20","RL",105,11751,"No alley","Other","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,"Other","Plywood","Plywood","Other",480,"TA","TA","CBlock","Gd","TA","No",1139,1844,"Ex","Y","SBrkr",1844,0,1844,3,"TA",7,"Typ",1,"TA","Attchd","RFn","2","546","TA","TA","Y",0,"Other",190000,122,2,33
"20","RL",0,11241,"No alley","Other","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",6,7,"Gable","Wd Sdng","Wd Sdng","Other",180,"TA","TA","CBlock","TA","TA","No",426,1004,"Ex","Y","SBrkr",1004,0,1004,2,"TA",5,"Typ",1,"TA","Attchd","Fin","2","480","TA","TA","Y",0,"No fence",149000,0,2,40
"20","RL",0,12537,"No alley","Other","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",5,6,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No",344,1078,"Ex","Y","SBrkr",1078,0,1078,3,"TA",6,"Typ",1,"Other","Attchd","Fin","2","500","TA","TA","Y",0,"No fence",149900,0,2.5,2
"20","RL",65,8450,"No alley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No",281,1056,"Ex","Y","SBrkr",1056,0,1056,3,"TA",6,"Typ",1,"Other","Attchd","Unf","Other","304","TA","TA","Y",0,"No fence",142000,269,2,42
"20","RL",70,8400,"No alley","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",4,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No",0,882,"TA","Y","SBrkr",882,0,882,2,"TA",4,"Typ",0,"No fireplace","Attchd","Fin","2","525","TA","TA","Y",240,"Other",126000,0,2,40
"20","RL",70,10500,"No alley","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",4,5,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No",432,864,"TA","Y","SBrkr",864,0,864,3,"TA",5,"Typ",1,"Other","Other","Other","Other","No garage","Other","Other","Y",0,"No fence",115000,0,1,39
"120","Other",26,5858,"No alley","Other","Lvl","Other","Gtl","NAmes","Norm","Other","1Story",7,5,"Gable","MetalSd","MetalSd","None",0,"Other","TA","PConc","Gd","TA","No",354,1405,"Ex","Y","SBrkr",1337,0,1337,2,"Other",5,"Typ",1,"Other","Attchd","Fin","2","511","TA","TA","Y",203,"No fence",184000,68,3,11
"160","Other",21,1680,"No alley","Reg","Lvl","Inside","Gtl","BrDale","Norm","Other","Other",6,5,"Gable","HdBoard","HdBoard","Other",504,"TA","TA","CBlock","TA","TA","No",327,483,"TA","Y","SBrkr",483,504,987,2,"TA",5,"Typ",0,"No fireplace","Other","Unf","Other","264","TA","TA","Y",275,"No fence",96000,0,1.5,39
"160","Other",21,1680,"No alley","Reg","Lvl","Inside","Gtl","BrDale","Norm","Other","Other",5,5,"Gable","HdBoard","HdBoard","Other",492,"TA","TA","CBlock","TA","TA","No",225,525,"TA","Y","SBrkr",525,567,1092,3,"TA",6,"Typ",0,"No fireplace","Other","Unf","Other","320","TA","TA","Y",0,"No fence",105500,0,1.5,39
"120","RL",53,4043,"No alley","Reg","Lvl","Inside","Gtl","NPkVill","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No",709,1069,"TA","Y","SBrkr",1069,0,1069,2,"TA",4,"Typ",1,"Other","Attchd","RFn","2","440","TA","TA","Y",0,"No fence",127500,220,2,33
"160","RL",24,2280,"No alley","Reg","Lvl","Other","Gtl","NPkVill","Norm","Other","Other",6,6,"Gable","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","TA","TA","No",341,855,"TA","Y","SBrkr",855,601,1456,3,"Other",6,"Typ",1,"TA","Attchd","Unf","2","440","TA","TA","Y",173,"No fence",149900,0,2.5,35
"120","RL",24,2280,"No alley","Reg","Lvl","Other","Gtl","NPkVill","Norm","Other","1Story",7,6,"Gable","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No",836,836,"Ex","Y","SBrkr",836,0,836,2,"TA",4,"Typ",0,"No fireplace","Attchd","Unf","Other","308","TA","TA","Y",0,"No fence",120000,30,1,35
"160","RL",24,2280,"No alley","Reg","Lvl","Inside","Gtl","NPkVill","Norm","Other","Other",6,5,"Gable","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No",544,855,"Other","Y","SBrkr",855,601,1456,3,"TA",7,"Typ",1,"TA","Attchd","Unf","2","440","TA","TA","Y",26,"No fence",146000,0,2.5,32
"20","RL",98,11478,"No alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Other",200,"Other","TA","PConc","Other","TA","No",486,1704,"Ex","Y","SBrkr",1704,0,1704,3,"Other",7,"Typ",1,"Gd","Attchd","RFn","Other","772","TA","TA","Y",0,"No fence",306000,50,3,2
"20","RL",90,11520,"No alley","Reg","Lvl","Inside","Gtl","NridgHt","Other","1Fam","1Story",9,5,"Other","VinylSd","VinylSd","Other",615,"Other","TA","PConc","Other","TA","No",1588,1698,"Ex","Y","SBrkr",1698,0,1698,3,"Other",7,"Typ",1,"Gd","Attchd","Fin","Other","730","TA","TA","Y",192,"No fence",275000,74,2,5
"20","RL",79,14122,"No alley","Other","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,"Other","CemntBd","CmentBd","Other",240,"Other","TA","PConc","Other","TA","No",1794,1822,"Ex","Y","SBrkr",1822,0,1822,3,"Other",8,"Typ",1,"Gd","Attchd","RFn","Other","678","TA","TA","Y",0,"No fence",259000,119,2,4
"20","RL",70,10171,"No alley","Other","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","Other",168,"Other","TA","PConc","Gd","TA","No",1515,1517,"Ex","Y","SBrkr",1535,0,1535,3,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","2","532","TA","TA","Y",0,"No fence",214000,0,2,6
"20","RL",110,14300,"No alley","Reg","Other","Inside","Other","NridgHt","Norm","1Fam","1Story",9,5,"Other","VinylSd","VinylSd","Other",1095,"Other","TA","PConc","Other","TA","Other",1473,2846,"Ex","Y","SBrkr",2696,0,2696,3,"Other",10,"Typ",2,"Gd","Attchd","Fin","Other","958","TA","TA","Y",220,"No fence",500000,150,3.5,6
"60","RL",105,13650,"No alley","Reg","Lvl","Other","Gtl","NridgHt","Norm","1Fam","Other",8,5,"Gable","VinylSd","VinylSd","Other",232,"Other","TA","PConc","Gd","TA","Other",1093,1671,"Ex","Y","SBrkr",1687,563,2250,3,"Other",7,"Typ",1,"Other","Attchd","Fin","Other","756","TA","TA","Y",238,"No fence",320000,130,3.5,8
"120","RL",61,7658,"No alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Other","1Story",9,5,"Other","MetalSd","MetalSd","Other",412,"Other","TA","PConc","Other","TA","No",1296,1752,"Ex","Y","SBrkr",1752,0,1752,2,"Other",6,"Typ",1,"Gd","Attchd","RFn","2","576","TA","TA","Y",196,"No fence",319900,82,3,5
"120","RL",41,7132,"No alley","Other","Lvl","Inside","Gtl","NridgHt","Norm","Other","1Story",8,5,"Gable","VinylSd","VinylSd","Other",178,"Other","TA","PConc","Gd","TA","Other",1346,1370,"Ex","Y","SBrkr",1370,0,1370,2,"Other",6,"Typ",1,"Gd","Attchd","RFn","2","484","TA","TA","Y",120,"No fence",205000,49,2,4
"160","RL",36,2628,"No alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Other","Other",7,5,"Gable","VinylSd","Wd Shng","Other",106,"Other","TA","PConc","Gd","TA","No",764,764,"Ex","Y","SBrkr",764,862,1626,2,"Other",6,"Typ",0,"No fireplace","Other","RFn","2","474","TA","TA","Y",0,"No fence",175500,27,2.5,7
"20","RL",100,18494,"No alley","Other","Lvl","Other","Gtl","Gilbert","Norm","1Fam","1Story",6,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",1324,1324,"Ex","Y","SBrkr",1324,0,1324,3,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","430","TA","TA","Y",36,"No fence",199500,23,2,5
"120","RL",43,3203,"No alley","Reg","Lvl","Inside","Gtl","Other","Norm","Other","1Story",7,5,"Gable","VinylSd","VinylSd","Other",14,"Other","TA","PConc","Gd","TA","Other",1129,1145,"Ex","Y","SBrkr",1145,0,1145,2,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","437","TA","TA","Y",100,"No fence",160000,116,2,4
"120","RL",43,3182,"No alley","Reg","Lvl","Inside","Gtl","Other","Norm","Other","1Story",8,5,"Gable","VinylSd","VinylSd","Other",16,"Other","TA","PConc","Gd","TA","No",1232,1256,"Ex","Y","SBrkr",1269,0,1269,2,"Other",6,"Typ",1,"TA","Attchd","Fin","2","430","TA","TA","Y",146,"No fence",192000,164,2,5
"80","RL",67,13300,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",58,384,"Ex","Y","SBrkr",744,630,1374,3,"Other",7,"Typ",1,"Gd","Other","Fin","2","400","TA","TA","Y",100,"No fence",184500,0,3.5,6
"60","RL",0,7851,"No alley","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",235,860,"Ex","Y","SBrkr",860,1100,1960,4,"Other",8,"Typ",2,"TA","Other","Fin","2","440","TA","TA","Y",288,"No fence",216500,48,3.5,8
"60","RL",63,8577,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",847,847,"Ex","Y","SBrkr",847,886,1733,3,"Other",7,"Typ",1,"Gd","Other","Fin","2","433","TA","TA","Y",144,"No fence",185088,48,2.5,6
"80","RL",0,7750,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No",134,384,"Ex","Y","SBrkr",774,656,1430,3,"TA",7,"Typ",1,"TA","Other","Fin","2","400","TA","TA","Y",180,"No fence",180000,0,2.5,10
"60","RL",0,9505,"No alley","Other","Lvl","Other","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","Other",180,"Other","TA","PConc","Gd","TA","No",884,884,"Ex","Y","SBrkr",884,1151,2035,3,"Other",8,"Typ",1,"Gd","Other","Fin","2","434","TA","TA","Y",144,"No fence",222500,48,2.5,9
"60","RL",108,14774,"No alley","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",9,5,"Gable","VinylSd","VinylSd","Other",165,"Other","TA","PConc","Gd","TA","No",1393,1393,"Ex","Y","SBrkr",1422,1177,2599,4,"Other",10,"Typ",1,"TA","Other","Fin","Other","779","TA","TA","Y",668,"No fence",333168,30,2.5,11
"60","RL",60,17433,"No alley","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Other","VinylSd","VinylSd","Other",114,"Other","TA","PConc","Other","TA","No",1629,1629,"Ex","Y","SBrkr",1645,830,2475,4,"Other",7,"Typ",1,"TA","Attchd","Fin","Other","962","TA","TA","Y",23,"No fence",355000,428,2.5,12
"20","RL",59,10593,"No alley","Other","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","1Story",7,5,"Other","VinylSd","VinylSd","Other",338,"Other","TA","PConc","Gd","TA","No",801,1720,"Ex","Y","SBrkr",1720,0,1720,3,"Other",7,"Typ",1,"TA","Attchd","Fin","2","527","TA","TA","Y",240,"No fence",260400,210,3,14
"60","RL",98,12256,"No alley","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Gable","HdBoard","HdBoard","Other",362,"Other","TA","PConc","Other","TA","Other",431,1463,"Ex","Y","SBrkr",1500,1122,2622,3,"Other",9,"Typ",2,"TA","Attchd","RFn","2","712","TA","TA","Y",186,"No fence",325000,32,3.5,15
"60","RL",92,11764,"No alley","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,7,"Gable","VinylSd","VinylSd","Other",348,"Other","TA","PConc","Gd","TA","No",628,1152,"Ex","Y","SBrkr",1164,1106,2270,4,"Other",9,"Typ",1,"Gd","Attchd","Fin","Other","671","TA","TA","Y",132,"No fence",290000,57,2.5,3
"60","RL",58,16770,"No alley","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","Other",30,"Other","TA","PConc","Gd","TA","No",1195,1195,"Other","Y","SBrkr",1195,644,1839,4,"TA",7,"Typ",0,"No fireplace","Attchd","Fin","2","486","TA","TA","Y",0,"No fence",221000,81,2.5,12
"50","RL",56,14720,"No alley","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Other","VinylSd","VinylSd","Other",579,"Other","TA","PConc","Gd","TA","Other",1217,2033,"Ex","Y","SBrkr",2053,1185,3238,4,"Other",9,"Typ",1,"Other","Attchd","Fin","Other","666","TA","TA","Y",283,"No fence",410000,86,3.5,14
"20","RL",73,8987,"No alley","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Other",226,"Other","TA","PConc","Gd","TA","Other",1595,1595,"Ex","Y","SBrkr",1595,0,1595,2,"Other",6,"Typ",1,"Gd","Attchd","RFn","Other","880","TA","TA","Y",144,"No fence",221500,0,2,4
"60","RL",76,10142,"No alley","Other","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",300,956,"Ex","Y","SBrkr",956,1128,2084,4,"Other",8,"Typ",0,"No fireplace","Other","RFn","2","618","TA","TA","Y",0,"No fence",233000,45,3.5,6
"60","RL",70,11920,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","Other",122,"Other","TA","PConc","Gd","TA","Other",831,831,"Ex","Y","SBrkr",831,828,1659,3,"Other",8,"Typ",0,"No fireplace","Attchd","RFn","2","484","TA","TA","Y",144,"No fence",181000,68,2.5,6
"60","RL",0,8880,"No alley","Other","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",253,948,"Ex","Y","SBrkr",1222,888,2110,3,"Other",8,"Typ",2,"Other","Attchd","RFn","2","463","TA","TA","Y",0,"No fence",205000,130,3.5,8
"120","RL",50,8012,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No",261,923,"TA","Y","SBrkr",923,0,923,2,"TA",5,"Typ",1,"TA","Attchd","RFn","Other","264","TA","TA","Y",80,"No fence",143000,0,2,30
"60","RL",70,11218,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",6,5,"Gable","Wd Sdng","Wd Sdng","None",0,"Other","TA","PConc","Gd","TA","No",1055,1055,"Ex","Y","SBrkr",1055,790,1845,3,"Other",8,"Typ",1,"TA","Attchd","RFn","2","462","TA","TA","Y",635,"Other",189000,104,2.5,18
"120","RL",55,7892,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No",918,918,"TA","Y","SBrkr",918,0,918,2,"TA",5,"Typ",1,"TA","Attchd","Unf","Other","264","TA","TA","Y",28,"No fence",99500,0,2,31
"120","RL",50,7175,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No",0,744,"TA","Y","SBrkr",752,0,752,2,"TA",4,"Typ",0,"No fireplace","Attchd","Unf","Other","264","TA","TA","Y",353,"Other",125000,90,2,26
"60","RL",0,9453,"No alley","Other","Lvl","Other","Gtl","SawyerW","Other","1Fam","Other",7,7,"Gable","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","No",594,996,"Ex","Y","SBrkr",1014,730,1744,3,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","2","457","TA","TA","Y",370,"No fence",194500,308,2.5,7
"20","RL",81,9672,"No alley","Reg","Lvl","Other","Gtl","SawyerW","Norm","1Fam","1Story",6,5,"Other","HdBoard","Plywood","None",0,"TA","TA","PConc","Gd","TA","No",702,1040,"TA","Y","SBrkr",1097,0,1097,3,"TA",6,"Typ",0,"No fireplace","Attchd","Unf","2","480","TA","TA","Y",0,"Other",152000,0,2,25
"60","RL",70,8400,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",6,6,"Gable","HdBoard","HdBoard","Other",130,"TA","TA","CBlock","Gd","TA","No",650,650,"TA","Y","SBrkr",888,676,1564,3,"TA",7,"Typ",1,"TA","Attchd","Unf","2","476","TA","TA","Y",0,"Other",171000,254,2.5,29
"30","Other",70,9800,"No alley","Reg","Lvl","Other","Gtl","SawyerW","Other","1Fam","1Story",5,5,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","Other","Other","TA","TA","No",816,816,"TA","Other","Other",1012,0,1012,2,"TA",5,"Typ",0,"No fireplace","Other","Unf","Other","429","TA","TA","Y",121,"No fence",67500,80,1,60
"90","Other",68,8930,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Other","Other","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Other","Other","Other","Other",0,0,"TA","Y","SBrkr",1318,584,1902,4,"TA",8,"Typ",0,"No fireplace","Attchd","Unf","2","539","TA","TA","Y",0,"No fence",112000,0,2,32
"85","RL",88,11782,"No alley","Other","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","Other",5,7,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Other",210,1109,"TA","Y","SBrkr",1155,0,1155,3,"Other",6,"Other",0,"No fireplace","Other","Unf","2","576","TA","TA","Y",192,"Other",148000,0,2,15
"20","RL",65,8450,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Other","1Fam","1Story",5,8,"Gable","MetalSd","MetalSd","None",0,"TA","Other","CBlock","TA","TA","No",224,894,"Ex","Y","SBrkr",894,0,894,3,"TA",5,"Typ",1,"Gd","Other","Unf","Other","336","TA","TA","Y",416,"Other",138500,144,2,1
"20","RL",0,9819,"No alley","Other","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,"Gable","MetalSd","MetalSd","Other",31,"TA","Other","CBlock","TA","TA","No",432,882,"TA","Y","SBrkr",900,0,900,3,"TA",5,"Typ",0,"No fireplace","Other","Unf","Other","280","TA","TA","Y",0,"Other",122000,0,1,43
