"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Roof.Style","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Pool.QC","Fence","Misc.Feature","Misc.Val","SalePrice","Porch.Sq.Feet","Tot.Bathrooms","House.Age"
50,"RL",152,12134,"No alley access","Other","Other","Inside","Other","Gilbert","Norm","1Fam","Other",8,7,"Gable","Wd Sdng","Wd Sdng","None",0,"Other","TA","Other","Gd","TA","Other","GLQ",427,"Unf",0,132,559,"GasA","Other","Y","SBrkr",1080,672,0,1752,4,1,"TA",8,"Typ",0,"No fireplace","Other","RFn",2,492,"TA","TA","Y",325,"No","No fence","No additional feature",0,164000,12,2,5
20,"RL",140,19138,"No alley access","Reg","Lvl","Other","Gtl","Gilbert","Norm","1Fam","1Story",4,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Other",120,"Unf",0,744,864,"GasA","Ex","Y","SBrkr",864,0,0,864,2,1,"TA",4,"Typ",0,"No fireplace","Other","Unf",2,400,"TA","TA","Y",0,"No","No fence","No additional feature",0,141000,0,1,59
20,"RL",85,13175,"No alley access","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,"Gable","Plywood","Plywood","Other",119,"TA","TA","CBlock","Gd","TA","No","ALQ",790,"Other",163,589,1542,"GasA","TA","Y","SBrkr",2073,0,0,2073,3,1,"TA",7,"Other",2,"TA","Attchd","Unf",2,500,"TA","TA","Y",349,"No","Other","No additional feature",0,210000,0,3,22
20,"RL",105,11751,"No alley access","Other","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,"Other","Plywood","Plywood","Other",480,"TA","TA","CBlock","Gd","TA","No","BLQ",705,"Unf",0,1139,1844,"GasA","Ex","Y","SBrkr",1844,0,0,1844,3,1,"TA",7,"Typ",1,"TA","Attchd","RFn",2,546,"TA","TA","Y",0,"No","Other","No additional feature",0,190000,122,2,33
20,"RL",70,8400,"No alley access","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",4,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",804,"Other",78,0,882,"GasA","TA","Y","SBrkr",882,0,0,882,2,1,"TA",4,"Typ",0,"No fireplace","Attchd","Fin",2,525,"TA","TA","Y",240,"No","Other","No additional feature",0,126000,0,2,40
120,"Other",26,5858,"No alley access","Other","Lvl","Other","Gtl","NAmes","Norm","Other","1Story",7,5,"Gable","MetalSd","MetalSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",1051,"Other",0,354,1405,"GasA","Ex","Y","SBrkr",1337,0,0,1337,2,1,"Other",5,"Typ",1,"Other","Attchd","Fin",2,511,"TA","TA","Y",203,"No","No fence","No additional feature",0,184000,68,3,11
120,"RL",53,4043,"No alley access","Reg","Lvl","Inside","Gtl","NPkVill","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",360,"Unf",0,709,1069,"GasA","TA","Y","SBrkr",1069,0,0,1069,2,1,"TA",4,"Typ",1,"Other","Attchd","RFn",2,440,"TA","TA","Y",0,"No","No fence","No additional feature",0,127500,220,2,33
120,"RL",24,2280,"No alley access","Reg","Lvl","Other","Gtl","NPkVill","Norm","Other","1Story",7,6,"Gable","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,836,836,"GasA","Ex","Y","SBrkr",836,0,0,836,2,1,"TA",4,"Typ",0,"No fireplace","Attchd","Unf",1,308,"TA","TA","Y",0,"No","No fence","No additional feature",0,120000,30,1,35
20,"RL",90,11520,"No alley access","Reg","Lvl","Inside","Gtl","NridgHt","Other","1Fam","1Story",9,5,"Other","VinylSd","VinylSd","Other",615,"Other","TA","PConc","Other","TA","No","GLQ",110,"Unf",0,1588,1698,"GasA","Ex","Y","SBrkr",1698,0,0,1698,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin",3,730,"TA","TA","Y",192,"No","No fence","No additional feature",0,275000,74,2,5
20,"RL",79,14122,"No alley access","Other","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,"Other","CemntBd","CmentBd","Other",240,"Other","TA","PConc","Other","TA","No","GLQ",28,"Unf",0,1794,1822,"GasA","Ex","Y","SBrkr",1822,0,0,1822,3,1,"Other",8,"Typ",1,"Gd","Attchd","RFn",3,678,"TA","TA","Y",0,"No","No fence","No additional feature",0,259000,119,2,4
20,"RL",110,14300,"No alley access","Reg","Other","Inside","Other","NridgHt","Norm","1Fam","1Story",9,5,"Other","VinylSd","VinylSd","Other",1095,"Other","TA","PConc","Other","TA","Other","GLQ",1373,"Unf",0,1473,2846,"GasA","Ex","Y","SBrkr",2696,0,0,2696,3,1,"Other",10,"Typ",2,"Gd","Attchd","Fin",3,958,"TA","TA","Y",220,"No","No fence","No additional feature",0,500000,150,3.5,6
60,"RL",105,13650,"No alley access","Reg","Lvl","Other","Gtl","NridgHt","Norm","1Fam","Other",8,5,"Gable","VinylSd","VinylSd","Other",232,"Other","TA","PConc","Gd","TA","Other","GLQ",578,"Unf",0,1093,1671,"GasA","Ex","Y","SBrkr",1687,563,0,2250,3,1,"Other",7,"Typ",1,"Other","Attchd","Fin",3,756,"TA","TA","Y",238,"No","No fence","No additional feature",0,320000,130,3.5,8
120,"RL",61,7658,"No alley access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Other","1Story",9,5,"Other","MetalSd","MetalSd","Other",412,"Other","TA","PConc","Other","TA","No","GLQ",456,"Unf",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,2,1,"Other",6,"Typ",1,"Gd","Attchd","RFn",2,576,"TA","TA","Y",196,"No","No fence","No additional feature",0,319900,82,3,5
160,"RL",36,2628,"No alley access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Other","Other",7,5,"Gable","VinylSd","Wd Shng","Other",106,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,764,764,"GasA","Ex","Y","SBrkr",764,862,0,1626,2,1,"Other",6,"Typ",0,"No fireplace","Other","RFn",2,474,"TA","TA","Y",0,"No","No fence","No additional feature",0,175500,27,2.5,7
120,"RL",43,3182,"No alley access","Reg","Lvl","Inside","Gtl","Small neighborhood","Norm","Other","1Story",8,5,"Gable","VinylSd","VinylSd","Other",16,"Other","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1232,1256,"GasA","Ex","Y","SBrkr",1269,0,0,1269,2,1,"Other",6,"Typ",1,"TA","Attchd","Fin",2,430,"TA","TA","Y",146,"No","No fence","No additional feature",0,192000,164,2,5
80,"RL",67,13300,"No alley access","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",326,"Unf",0,58,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,3,1,"Other",7,"Typ",1,"Gd","Other","Fin",2,400,"TA","TA","Y",100,"No","No fence","No additional feature",0,184500,0,3.5,6
80,"RL",0,7750,"No alley access","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",250,"Unf",0,134,384,"GasA","Ex","Y","SBrkr",774,656,0,1430,3,1,"TA",7,"Typ",1,"TA","Other","Fin",2,400,"TA","TA","Y",180,"No","No fence","No additional feature",0,180000,0,2.5,10
60,"RL",0,9505,"No alley access","Other","Lvl","Other","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","Other",180,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,884,884,"GasA","Ex","Y","SBrkr",884,1151,0,2035,3,1,"Other",8,"Typ",1,"Gd","Other","Fin",2,434,"TA","TA","Y",144,"No","No fence","No additional feature",0,222500,48,2.5,9
60,"RL",60,17433,"No alley access","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Other","VinylSd","VinylSd","Other",114,"Other","TA","PConc","Other","TA","No","Unf",0,"Unf",0,1629,1629,"GasA","Ex","Y","SBrkr",1645,830,0,2475,4,1,"Other",7,"Typ",1,"TA","Attchd","Fin",3,962,"TA","TA","Y",23,"No","No fence","No additional feature",0,355000,428,2.5,12
20,"RL",59,10593,"No alley access","Other","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","1Story",7,5,"Other","VinylSd","VinylSd","Other",338,"Other","TA","PConc","Gd","TA","No","GLQ",919,"Unf",0,801,1720,"GasA","Ex","Y","SBrkr",1720,0,0,1720,3,1,"Other",7,"Typ",1,"TA","Attchd","Fin",2,527,"TA","TA","Y",240,"No","No fence","No additional feature",0,260400,210,3,14
60,"RL",92,11764,"No alley access","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,7,"Gable","VinylSd","VinylSd","Other",348,"Other","TA","PConc","Gd","TA","No","GLQ",524,"Unf",0,628,1152,"GasA","Ex","Y","SBrkr",1164,1106,0,2270,4,1,"Other",9,"Typ",1,"Gd","Attchd","Fin",3,671,"TA","TA","Y",132,"No","No fence","No additional feature",0,290000,57,2.5,3
60,"RL",58,16770,"No alley access","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","Other",30,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1195,1195,"GasA","Other","Y","SBrkr",1195,644,0,1839,4,1,"TA",7,"Typ",0,"No fireplace","Attchd","Fin",2,486,"TA","TA","Y",0,"No","No fence","No additional feature",0,221000,81,2.5,12
50,"RL",56,14720,"No alley access","Other","Lvl","Other","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Other","VinylSd","VinylSd","Other",579,"Other","TA","PConc","Gd","TA","Other","GLQ",816,"Unf",0,1217,2033,"GasA","Ex","Y","SBrkr",2053,1185,0,3238,4,1,"Other",9,"Typ",1,"Other","Attchd","Fin",3,666,"TA","TA","Y",283,"No","No fence","No additional feature",0,410000,86,3.5,14
120,"RL",50,8012,"No alley access","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","BLQ",543,"Other",119,261,923,"GasA","TA","Y","SBrkr",923,0,0,923,2,1,"TA",5,"Typ",1,"TA","Attchd","RFn",1,264,"TA","TA","Y",80,"No","No fence","No additional feature",0,143000,0,2,30
120,"RL",50,7175,"No alley access","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Other","1Story",6,5,"Gable","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",623,"Other",121,0,744,"GasA","TA","Y","SBrkr",752,0,0,752,2,1,"TA",4,"Typ",0,"No fireplace","Attchd","Unf",1,264,"TA","TA","Y",353,"No","Other","No additional feature",0,125000,90,2,26
60,"RL",70,8400,"No alley access","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",6,6,"Gable","HdBoard","HdBoard","Other",130,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,650,650,"GasA","TA","Y","SBrkr",888,676,0,1564,3,1,"TA",7,"Typ",1,"TA","Attchd","Unf",2,476,"TA","TA","Y",0,"No","Other","No additional feature",0,171000,254,2.5,29
90,"Other",68,8930,"No alley access","Reg","Lvl","Inside","Gtl","Sawyer","Other","Other","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Other","Other","Other","Other","Other",0,"Other",0,0,0,"GasA","TA","Y","SBrkr",1318,584,0,1902,4,2,"TA",8,"Typ",0,"No fireplace","Attchd","Unf",2,539,"TA","TA","Y",0,"No","No fence","No additional feature",0,112000,0,2,32
20,"RL",65,8450,"No alley access","Reg","Lvl","Inside","Gtl","Sawyer","Other","1Fam","1Story",5,8,"Gable","MetalSd","MetalSd","None",0,"TA","Other","CBlock","TA","TA","No","GLQ",553,"Other",117,224,894,"GasA","Ex","Y","SBrkr",894,0,0,894,3,1,"TA",5,"Typ",1,"Gd","Other","Unf",1,336,"TA","TA","Y",416,"No","Other","No additional feature",0,138500,144,2,1
20,"RL",0,9819,"No alley access","Other","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,"Gable","MetalSd","MetalSd","Other",31,"TA","Other","CBlock","TA","TA","No","BLQ",450,"Unf",0,432,882,"GasA","TA","Y","SBrkr",900,0,0,900,3,1,"TA",5,"Typ",0,"No fireplace","Other","Unf",1,280,"TA","TA","Y",0,"No","Other","No additional feature",0,122000,0,1,43
20,"RL",75,7500,"No alley access","Reg","Lvl","Other","Gtl","Sawyer","Other","1Fam","1Story",5,5,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",824,"Unf",0,216,1040,"GasA","Other","Y","SBrkr",1040,0,0,1040,3,1,"TA",5,"Typ",0,"No fireplace","Attchd","Fin",1,308,"TA","TA","Y",0,"No","Other","No additional feature",0,133000,220,2.5,47
60,"RL",85,13143,"No alley access","Other","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Gable","HdBoard","ImStucc","Other",504,"Other","TA","PConc","Gd","TA","No","Other",250,"Other",981,0,1231,"GasA","Ex","Y","SBrkr",1251,1098,0,2349,4,1,"Other",9,"Typ",1,"TA","Attchd","RFn",3,762,"TA","TA","Y",32,"No","No fence","No additional feature",0,362500,130,3.5,17
60,"RL",88,11134,"No alley access","Reg","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","Other",8,5,"Gable","HdBoard","HdBoard","Other",180,"Other","TA","PConc","Gd","TA","No","GLQ",1129,"Unf",0,261,1390,"GasA","Ex","Y","SBrkr",1402,823,0,2225,4,1,"Other",7,"Typ",1,"TA","Attchd","RFn",3,713,"TA","TA","Y",198,"No","No fence","No additional feature",0,285000,30,3.5,17
120,"RL",30,4420,"No alley access","Other","Lvl","Other","Gtl","Small neighborhood","Norm","Other","1Story",8,5,"Gable","Wd Sdng","Wd Sdng","None",0,"Other","TA","CBlock","Gd","TA","Other","GLQ",728,"Unf",0,0,728,"GasA","TA","Y","SBrkr",788,0,0,788,1,1,"Other",3,"Typ",1,"TA","Other","Fin",2,484,"TA","TA","Y",133,"No","No fence","No additional feature",0,155000,42,2,30
120,"RL",40,3880,"No alley access","Other","Lvl","Inside","Gtl","Small neighborhood","Norm","Other","1Story",8,6,"Gable","Wd Sdng","Plywood","None",0,"Other","TA","CBlock","Gd","TA","Other","GLQ",1052,"Unf",0,174,1226,"GasA","TA","Y","SBrkr",1226,0,0,1226,1,1,"Other",4,"Typ",1,"TA","Attchd","Fin",2,484,"TA","TA","Y",223,"No","No fence","No additional feature",0,206000,78,2,32
20,"RL",0,10456,"No alley access","Other","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,"Other","HdBoard","HdBoard","Other",120,"TA","TA","CBlock","TA","TA","No","GLQ",506,"Unf",0,1323,1829,"GasA","Other","Y","SBrkr",1829,0,0,1829,4,1,"TA",8,"Typ",0,"No fireplace","Attchd","RFn",2,535,"TA","TA","Y",0,"No","No fence","No additional feature",0,218500,76,3,43
20,"RL",0,10603,"No alley access","Other","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,7,"Gable","Plywood","Plywood","Other",28,"TA","TA","PConc","TA","TA","Other","ALQ",1200,"Unf",0,410,1610,"GasA","Other","Y","SBrkr",1610,0,0,1610,3,1,"Other",6,"Typ",2,"TA","Attchd","RFn",2,480,"TA","TA","Y",168,"No","No fence","No additional feature",0,205000,68,3,9
20,"RL",78,9360,"No alley access","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,7,"Other","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",982,"Unf",0,179,1161,"GasA","TA","Y","SBrkr",1381,0,0,1381,3,1,"Other",5,"Typ",1,"TA","Attchd","RFn",2,676,"TA","TA","Y",0,"No","No fence","No additional feature",0,197500,0,2.5,4
20,"RL",80,9600,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,5,"Other","VinylSd","VinylSd","Other",172,"TA","TA","CBlock","TA","TA","No","Rec",698,"Unf",0,534,1232,"GasA","TA","Y","SBrkr",1232,0,0,1232,3,1,"TA",6,"Typ",0,"No fireplace","Attchd","RFn",2,490,"TA","TA","Y",0,"No","No fence","No additional feature",0,142250,224,2.5,44
20,"RL",0,9790,"No alley access","Reg","Lvl","Inside","Gtl","NWAmes","Other","1Fam","1Story",6,5,"Other","HdBoard","HdBoard","Other",451,"TA","TA","CBlock","TA","TA","No","ALQ",569,"Other",81,678,1328,"GasA","TA","Y","SBrkr",1328,0,0,1328,3,1,"TA",6,"Typ",2,"Gd","Attchd","Unf",2,528,"TA","TA","Y",0,"No","No fence","No additional feature",0,143000,26,2.5,47
20,"RL",90,9900,"No alley access","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",5,5,"Other","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","BLQ",1059,"Unf",0,150,1209,"GasA","Other","Y","SBrkr",1209,0,0,1209,3,1,"TA",6,"Typ",0,"No fireplace","Attchd","RFn",2,504,"TA","TA","Y",0,"No","No fence","No additional feature",0,159000,120,2,44
80,"RL",0,14112,"No alley access","Other","Lvl","Other","Gtl","NAmes","Norm","1Fam","Other",5,7,"Other","Wd Sdng","HdBoard","Other",86,"TA","TA","PConc","TA","TA","Other","GLQ",1014,"Unf",0,138,1152,"GasA","TA","Y","SBrkr",1152,0,0,1152,3,1,"TA",6,"Typ",1,"Gd","Attchd","RFn",2,484,"TA","TA","Y",227,"No","No fence","No additional feature",0,180500,0,2,46
20,"RL",68,9717,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,"Other","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Other","GLQ",49,"Other",1029,0,1078,"GasA","Other","Y","Other",1078,0,0,1078,2,1,"Other",5,"Typ",0,"No fireplace","Attchd","Unf",1,240,"TA","TA","Y",366,"No","No fence","No additional feature",0,142125,112,2,14
50,"RL",68,9724,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","Other",5,7,"Gable","MetalSd","MetalSd","Other",265,"Other","TA","CBlock","TA","TA","No","Other",670,"Unf",0,470,1140,"GasA","Other","Y","SBrkr",1929,532,0,2461,3,1,"TA",7,"Other",2,"Gd","Other","Unf",2,400,"TA","TA","Y",0,"No","Other","No additional feature",0,197600,0,2,8
80,"RL",80,9600,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","Other",6,6,"Gable","AsbShng","AsbShng","Other",164,"TA","TA","CBlock","TA","TA","Other","BLQ",674,"Other",132,350,1156,"GasA","Ex","Y","SBrkr",1520,0,0,1520,3,1,"TA",7,"Typ",2,"Gd","Other","RFn",1,364,"TA","TA","Y",0,"No","No fence","No additional feature",0,153000,189,2,38
20,"RL",137,16492,"No alley access","Other","Lvl","Other","Gtl","NAmes","Other","1Fam","1Story",6,6,"Gable","BrkFace","Plywood","None",0,"Other","TA","CBlock","TA","TA","No","ALQ",247,"Other",713,557,1517,"GasA","Ex","Y","SBrkr",1888,0,0,1888,2,1,"Other",6,"Other",1,"Gd","Attchd","Fin",2,578,"TA","TA","Y",0,"No","No fence","No additional feature",0,190000,0,2.5,8
20,"RL",0,8050,"No alley access","Other","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,5,"Other","MetalSd","MetalSd","Other",150,"TA","TA","CBlock","TA","TA","No","BLQ",856,"Other",162,125,1143,"GasA","TA","Y","SBrkr",1143,0,0,1143,3,1,"TA",6,"Typ",0,"No fireplace","Attchd","RFn",1,308,"TA","TA","Y",0,"No","Other","No additional feature",0,136000,0,2,51
20,"RL",73,9300,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Other","1Fam","1Story",5,5,"Gable","MetalSd","HdBoard","Other",324,"TA","TA","CBlock","TA","TA","No","Rec",697,"Unf",0,571,1268,"GasA","TA","Y","SBrkr",1264,0,0,1264,3,1,"TA",6,"Typ",2,"Gd","Attchd","Unf",2,461,"TA","TA","Y",0,"No","No fence","No additional feature",0,167500,143,2,50
20,"RL",80,10032,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,"Gable","Wd Sdng","Wd Sdng","Other",432,"TA","TA","CBlock","TA","TA","No","Rec",734,"Unf",0,510,1244,"GasA","Ex","Y","SBrkr",1580,0,0,1580,3,1,"TA",6,"Typ",2,"Gd","Attchd","Unf",2,440,"TA","TA","Y",0,"No","Other","No additional feature",0,159500,188,2.5,51
50,"RL",60,8382,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","Other",4,5,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","TA","Y","Other",832,505,0,1337,3,1,"TA",5,"Typ",0,"No fireplace","Attchd","Unf",1,263,"TA","TA","Y",0,"No","No fence","No additional feature",0,108000,0,1,54
20,"RL",119,10895,"No alley access","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",5,6,"Gable","MetalSd","MetalSd","None",0,"TA","Other","CBlock","TA","TA","No","Rec",648,"Unf",0,324,972,"GasA","TA","Y","SBrkr",972,0,0,972,3,1,"TA",5,"Typ",0,"No fireplace","Attchd","Unf",1,305,"TA","TA","Y",0,"No","Other","No additional feature",0,122500,205,1,55
