"","pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked"
"63",1,0,"Harris, Mr. Henry Birkhardt","male",45,1,0,"36973",83.475,"C83","S"
"64",3,0,"Skoog, Master. Harald","male",4,3,2,"347088",27.9,"","S"
"65",1,0,"Stewart, Mr. Albert A","male",NA,0,0,"PC 17605",27.7208,"","C"
"66",3,1,"Moubarek, Master. Gerios","male",NA,1,1,"2661",15.2458,"","C"
"67",2,1,"Nye, Mrs. (Elizabeth Ramell)","female",29,0,0,"C.A. 29395",10.5,"F33","S"
"68",3,0,"Crease, Mr. Ernest James","male",19,0,0,"S.P. 3464",8.1583,"","S"
"69",3,1,"Andersson, Miss. Erna Alexandra","female",17,4,2,"3101281",7.925,"","S"
"70",3,0,"Kink, Mr. Vincenz","male",26,2,0,"315151",8.6625,"","S"
"71",2,0,"Jenkin, Mr. Stephen Curnow","male",32,0,0,"C.A. 33111",10.5,"","S"
"72",3,0,"Goodwin, Miss. Lillian Amy","female",16,5,2,"CA 2144",46.9,"","S"
"73",2,0,"Hood, Mr. Ambrose Jr","male",21,0,0,"S.O.C. 14879",73.5,"","S"
"74",3,0,"Chronopoulos, Mr. Apostolos","male",26,1,0,"2680",14.4542,"","C"
"75",3,1,"Bing, Mr. Lee","male",32,0,0,"1601",56.4958,"","S"
"76",3,0,"Moen, Mr. Sigurd Hansen","male",25,0,0,"348123",7.65,"F G73","S"
"77",3,0,"Staneff, Mr. Ivan","male",NA,0,0,"349208",7.8958,"","S"
"78",3,0,"Moutal, Mr. Rahamin Haim","male",NA,0,0,"374746",8.05,"","S"
"79",2,1,"Caldwell, Master. Alden Gates","male",0.83,0,2,"248738",29,"","S"
"80",3,1,"Dowdell, Miss. Elizabeth","female",30,0,0,"364516",12.475,"","S"
"81",3,0,"Waelens, Mr. Achille","male",22,0,0,"345767",9,"","S"
"82",3,1,"Sheerlinck, Mr. Jan Baptist","male",29,0,0,"345779",9.5,"","S"
"83",3,1,"McDermott, Miss. Brigdet Delia","female",NA,0,0,"330932",7.7875,"","Q"
"84",1,0,"Carrau, Mr. Francisco M","male",28,0,0,"113059",47.1,"","S"
"85",2,1,"Ilett, Miss. Bertha","female",17,0,0,"SO/C 14885",10.5,"","S"
"86",3,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","female",33,3,0,"3101278",15.85,"","S"
"87",3,0,"Ford, Mr. William Neal","male",16,1,3,"W./C. 6608",34.375,"","S"
"88",3,0,"Slocovski, Mr. Selman Francis","male",NA,0,0,"SOTON/OQ 392086",8.05,"","S"
"89",1,1,"Fortune, Miss. Mabel Helen","female",23,3,2,"19950",263,"C23 C25 C27","S"
"90",3,0,"Celotti, Mr. Francesco","male",24,0,0,"343275",8.05,"","S"
"91",3,0,"Christmann, Mr. Emil","male",29,0,0,"343276",8.05,"","S"
"92",3,0,"Andreasson, Mr. Paul Edvin","male",20,0,0,"347466",7.8542,"","S"
"93",1,0,"Chaffee, Mr. Herbert Fuller","male",46,1,0,"W.E.P. 5734",61.175,"E31","S"
"94",3,0,"Dean, Mr. Bertram Frank","male",26,1,2,"C.A. 2315",20.575,"","S"
"95",3,0,"Coxon, Mr. Daniel","male",59,0,0,"364500",7.25,"","S"
"96",3,0,"Shorney, Mr. Charles Joseph","male",NA,0,0,"374910",8.05,"","S"
"97",1,0,"Goldschmidt, Mr. George B","male",71,0,0,"PC 17754",34.6542,"A5","C"
"98",1,1,"Greenfield, Mr. William Bertram","male",23,0,1,"PC 17759",63.3583,"D10 D12","C"
"99",2,1,"Doling, Mrs. John T (Ada Julia Bone)","female",34,0,1,"231919",23,"","S"
"100",2,0,"Kantor, Mr. Sinai","male",34,1,0,"244367",26,"","S"
"101",3,0,"Petranec, Miss. Matilda","female",28,0,0,"349245",7.8958,"","S"
"102",3,0,"Petroff, Mr. Pastcho (""Pentcho"")","male",NA,0,0,"349215",7.8958,"","S"
"103",1,0,"White, Mr. Richard Frasar","male",21,0,1,"35281",77.2875,"D26","S"
"104",3,0,"Johansson, Mr. Gustaf Joel","male",33,0,0,"7540",8.6542,"","S"
"105",3,0,"Gustafsson, Mr. Anders Vilhelm","male",37,2,0,"3101276",7.925,"","S"
"106",3,0,"Mionoff, Mr. Stoytcho","male",28,0,0,"349207",7.8958,"","S"
"107",3,1,"Salkjelsvik, Miss. Anna Kristine","female",21,0,0,"343120",7.65,"","S"
"108",3,1,"Moss, Mr. Albert Johan","male",NA,0,0,"312991",7.775,"","S"
"109",3,0,"Rekic, Mr. Tido","male",38,0,0,"349249",7.8958,"","S"
"110",3,1,"Moran, Miss. Bertha","female",NA,1,0,"371110",24.15,"","Q"
"111",1,0,"Porter, Mr. Walter Chamberlain","male",47,0,0,"110465",52,"C110","S"
"112",3,0,"Zabour, Miss. Hileni","female",14.5,1,0,"2665",14.4542,"","C"
"113",3,0,"Barton, Mr. David John","male",22,0,0,"324669",8.05,"","S"
"114",3,0,"Jussila, Miss. Katriina","female",20,1,0,"4136",9.825,"","S"
"115",3,0,"Attalah, Miss. Malake","female",17,0,0,"2627",14.4583,"","C"
"116",3,0,"Pekoniemi, Mr. Edvard","male",21,0,0,"STON/O 2. 3101294",7.925,"","S"
"117",3,0,"Connors, Mr. Patrick","male",70.5,0,0,"370369",7.75,"","Q"
"118",2,0,"Turpin, Mr. William John Robert","male",29,1,0,"11668",21,"","S"
"119",1,0,"Baxter, Mr. Quigg Edmond","male",24,0,1,"PC 17558",247.5208,"B58 B60","C"
"120",3,0,"Andersson, Miss. Ellis Anna Maria","female",2,4,2,"347082",31.275,"","S"
"121",2,0,"Hickman, Mr. Stanley George","male",21,2,0,"S.O.C. 14879",73.5,"","S"
"122",3,0,"Moore, Mr. Leonard Charles","male",NA,0,0,"A4. 54510",8.05,"","S"
"123",2,0,"Nasser, Mr. Nicholas","male",32.5,1,0,"237736",30.0708,"","C"
"124",2,1,"Webber, Miss. Susan","female",32.5,0,0,"27267",13,"E101","S"
"125",1,0,"White, Mr. Percival Wayland","male",54,0,1,"35281",77.2875,"D26","S"
"126",3,1,"Nicola-Yarred, Master. Elias","male",12,1,0,"2651",11.2417,"","C"
"127",3,0,"McMahon, Mr. Martin","male",NA,0,0,"370372",7.75,"","Q"
"128",3,1,"Madsen, Mr. Fridtjof Arne","male",24,0,0,"C 17369",7.1417,"","S"
"129",3,1,"Peter, Miss. Anna","female",NA,1,1,"2668",22.3583,"F E69","C"
"130",3,0,"Ekstrom, Mr. Johan","male",45,0,0,"347061",6.975,"","S"
"131",3,0,"Drazenoic, Mr. Jozef","male",33,0,0,"349241",7.8958,"","C"
"132",3,0,"Coelho, Mr. Domingos Fernandeo","male",20,0,0,"SOTON/O.Q. 3101307",7.05,"","S"
"133",3,0,"Robins, Mrs. Alexander A (Grace Charity Laury)","female",47,1,0,"A/5. 3337",14.5,"","S"
"134",2,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)","female",29,1,0,"228414",26,"","S"
"135",2,0,"Sobey, Mr. Samuel James Hayden","male",25,0,0,"C.A. 29178",13,"","S"
"136",2,0,"Richard, Mr. Emile","male",23,0,0,"SC/PARIS 2133",15.0458,"","C"
"137",1,1,"Newsom, Miss. Helen Monypeny","female",19,0,2,"11752",26.2833,"D47","S"
"138",1,0,"Futrelle, Mr. Jacques Heath","male",37,1,0,"113803",53.1,"C123","S"
"139",3,0,"Osen, Mr. Olaf Elon","male",16,0,0,"7534",9.2167,"","S"
"140",1,0,"Giglio, Mr. Victor","male",24,0,0,"PC 17593",79.2,"B86","C"
"141",3,0,"Boulos, Mrs. Joseph (Sultana)","female",NA,0,2,"2678",15.2458,"","C"
"142",3,1,"Nysten, Miss. Anna Sofia","female",22,0,0,"347081",7.75,"","S"
"143",3,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","female",24,1,0,"STON/O2. 3101279",15.85,"","S"
"144",3,0,"Burke, Mr. Jeremiah","male",19,0,0,"365222",6.75,"","Q"
"145",2,0,"Andrew, Mr. Edgardo Samuel","male",18,0,0,"231945",11.5,"","S"
"146",2,0,"Nicholls, Mr. Joseph Charles","male",19,1,1,"C.A. 33112",36.75,"","S"
"147",3,1,"Andersson, Mr. August Edvard (""Wennerstrom"")","male",27,0,0,"350043",7.7958,"","S"
"148",3,0,"Ford, Miss. Robina Maggie ""Ruby""","female",9,2,2,"W./C. 6608",34.375,"","S"
"149",2,0,"Navratil, Mr. Michel (""Louis M Hoffman"")","male",36.5,0,2,"230080",26,"F2","S"
"150",2,0,"Byles, Rev. Thomas Roussel Davids","male",42,0,0,"244310",13,"","S"
"151",2,0,"Bateman, Rev. Robert James","male",51,0,0,"S.O.P. 1166",12.525,"","S"
"152",1,1,"Pears, Mrs. Thomas (Edith Wearne)","female",22,1,0,"113776",66.6,"C2","S"
"153",3,0,"Meo, Mr. Alfonzo","male",55.5,0,0,"A.5. 11206",8.05,"","S"
"154",3,0,"van Billiard, Mr. Austin Blyler","male",40.5,0,2,"A/5. 851",14.5,"","S"
"155",3,0,"Olsen, Mr. Ole Martin","male",NA,0,0,"Fa 265302",7.3125,"","S"
"156",1,0,"Williams, Mr. Charles Duane","male",51,0,1,"PC 17597",61.3792,"","C"
"157",3,1,"Gilnagh, Miss. Katherine ""Katie""","female",16,0,0,"35851",7.7333,"","Q"
"158",3,0,"Corn, Mr. Harry","male",30,0,0,"SOTON/OQ 392090",8.05,"","S"
"159",3,0,"Smiljanic, Mr. Mile","male",NA,0,0,"315037",8.6625,"","S"
"160",3,0,"Sage, Master. Thomas Henry","male",NA,8,2,"CA. 2343",69.55,"","S"
"161",3,0,"Cribb, Mr. John Hatfield","male",44,0,1,"371362",16.1,"","S"
"162",2,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","female",40,0,0,"C.A. 33595",15.75,"","S"
"163",3,0,"Bengtsson, Mr. John Viktor","male",26,0,0,"347068",7.775,"","S"
"164",3,0,"Calic, Mr. Jovo","male",17,0,0,"315093",8.6625,"","S"
"165",3,0,"Panula, Master. Eino Viljami","male",1,4,1,"3101295",39.6875,"","S"
"166",3,1,"Goldsmith, Master. Frank John William ""Frankie""","male",9,0,2,"363291",20.525,"","S"
"167",1,1,"Chibnall, Mrs. (Edith Martha Bowerman)","female",NA,0,1,"113505",55,"E33","S"
"168",3,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",45,1,4,"347088",27.9,"","S"
"169",1,0,"Baumann, Mr. John D","male",NA,0,0,"PC 17318",25.925,"","S"
"170",3,0,"Ling, Mr. Lee","male",28,0,0,"1601",56.4958,"","S"
"171",1,0,"Van der hoef, Mr. Wyckoff","male",61,0,0,"111240",33.5,"B19","S"
"172",3,0,"Rice, Master. Arthur","male",4,4,1,"382652",29.125,"","Q"
"173",3,1,"Johnson, Miss. Eleanor Ileen","female",1,1,1,"347742",11.1333,"","S"
"174",3,0,"Sivola, Mr. Antti Wilhelm","male",21,0,0,"STON/O 2. 3101280",7.925,"","S"
"175",1,0,"Smith, Mr. James Clinch","male",56,0,0,"17764",30.6958,"A7","C"
"176",3,0,"Klasen, Mr. Klas Albin","male",18,1,1,"350404",7.8542,"","S"
"177",3,0,"Lefebre, Master. Henry Forbes","male",NA,3,1,"4133",25.4667,"","S"
"178",1,0,"Isham, Miss. Ann Elizabeth","female",50,0,0,"PC 17595",28.7125,"C49","C"
"179",2,0,"Hale, Mr. Reginald","male",30,0,0,"250653",13,"","S"
"180",3,0,"Leonard, Mr. Lionel","male",36,0,0,"LINE",0,"","S"
"181",3,0,"Sage, Miss. Constance Gladys","female",NA,8,2,"CA. 2343",69.55,"","S"
"182",2,0,"Pernot, Mr. Rene","male",NA,0,0,"SC/PARIS 2131",15.05,"","C"
"183",3,0,"Asplund, Master. Clarence Gustaf Hugo","male",9,4,2,"347077",31.3875,"","S"
"184",2,1,"Becker, Master. Richard F","male",1,2,1,"230136",39,"F4","S"
"185",3,1,"Kink-Heilmann, Miss. Luise Gretchen","female",4,0,2,"315153",22.025,"","S"
"186",1,0,"Rood, Mr. Hugh Roscoe","male",NA,0,0,"113767",50,"A32","S"
"187",3,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","female",NA,1,0,"370365",15.5,"","Q"
"188",1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","male",45,0,0,"111428",26.55,"","S"
"189",3,0,"Bourke, Mr. John","male",40,1,1,"364849",15.5,"","Q"
"190",3,0,"Turcin, Mr. Stjepan","male",36,0,0,"349247",7.8958,"","S"
"191",2,1,"Pinsky, Mrs. (Rosa)","female",32,0,0,"234604",13,"","S"
"192",2,0,"Carbines, Mr. William","male",19,0,0,"28424",13,"","S"
"193",3,1,"Andersen-Jensen, Miss. Carla Christine Nielsine","female",19,1,0,"350046",7.8542,"","S"
"194",2,1,"Navratil, Master. Michel M","male",3,1,1,"230080",26,"F2","S"
"195",1,1,"Brown, Mrs. James Joseph (Margaret Tobin)","female",44,0,0,"PC 17610",27.7208,"B4","C"
"196",1,1,"Lurette, Miss. Elise","female",58,0,0,"PC 17569",146.5208,"B80","C"
"197",3,0,"Mernagh, Mr. Robert","male",NA,0,0,"368703",7.75,"","Q"
"198",3,0,"Olsen, Mr. Karl Siegwart Andreas","male",42,0,1,"4579",8.4042,"","S"
"199",3,1,"Madigan, Miss. Margaret ""Maggie""","female",NA,0,0,"370370",7.75,"","Q"
"200",2,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")","female",24,0,0,"248747",13,"","S"
"201",3,0,"Vande Walle, Mr. Nestor Cyriel","male",28,0,0,"345770",9.5,"","S"
"202",3,0,"Sage, Mr. Frederick","male",NA,8,2,"CA. 2343",69.55,"","S"
"203",3,0,"Johanson, Mr. Jakob Alfred","male",34,0,0,"3101264",6.4958,"","S"
"204",3,0,"Youseff, Mr. Gerious","male",45.5,0,0,"2628",7.225,"","C"
"205",3,1,"Cohen, Mr. Gurshon ""Gus""","male",18,0,0,"A/5 3540",8.05,"","S"
"206",3,0,"Strom, Miss. Telma Matilda","female",2,0,1,"347054",10.4625,"G6","S"
"207",3,0,"Backstrom, Mr. Karl Alfred","male",32,1,0,"3101278",15.85,"","S"
"208",3,1,"Albimona, Mr. Nassef Cassem","male",26,0,0,"2699",18.7875,"","C"
"209",3,1,"Carr, Miss. Helen ""Ellen""","female",16,0,0,"367231",7.75,"","Q"
"210",1,1,"Blank, Mr. Henry","male",40,0,0,"112277",31,"A31","C"
"211",3,0,"Ali, Mr. Ahmed","male",24,0,0,"SOTON/O.Q. 3101311",7.05,"","S"
"212",2,1,"Cameron, Miss. Clear Annie","female",35,0,0,"F.C.C. 13528",21,"","S"
"213",3,0,"Perkin, Mr. John Henry","male",22,0,0,"A/5 21174",7.25,"","S"
"214",2,0,"Givard, Mr. Hans Kristensen","male",30,0,0,"250646",13,"","S"
"215",3,0,"Kiernan, Mr. Philip","male",NA,1,0,"367229",7.75,"","Q"
"216",1,1,"Newell, Miss. Madeleine","female",31,1,0,"35273",113.275,"D36","C"
"217",3,1,"Honkanen, Miss. Eliina","female",27,0,0,"STON/O2. 3101283",7.925,"","S"
"218",2,0,"Jacobsohn, Mr. Sidney Samuel","male",42,1,0,"243847",27,"","S"
"219",1,1,"Bazzani, Miss. Albina","female",32,0,0,"11813",76.2917,"D15","C"
"220",2,0,"Harris, Mr. Walter","male",30,0,0,"W/C 14208",10.5,"","S"
"221",3,1,"Sunderland, Mr. Victor Francis","male",16,0,0,"SOTON/OQ 392089",8.05,"","S"
"222",2,0,"Bracken, Mr. James H","male",27,0,0,"220367",13,"","S"
"223",3,0,"Green, Mr. George Henry","male",51,0,0,"21440",8.05,"","S"
"224",3,0,"Nenkoff, Mr. Christo","male",NA,0,0,"349234",7.8958,"","S"
"225",1,1,"Hoyt, Mr. Frederick Maxfield","male",38,1,0,"19943",90,"C93","S"
"226",3,0,"Berglund, Mr. Karl Ivar Sven","male",22,0,0,"PP 4348",9.35,"","S"
"227",2,1,"Mellors, Mr. William John","male",19,0,0,"SW/PP 751",10.5,"","S"
"228",3,0,"Lovell, Mr. John Hall (""Henry"")","male",20.5,0,0,"A/5 21173",7.25,"","S"
"229",2,0,"Fahlstrom, Mr. Arne Jonas","male",18,0,0,"236171",13,"","S"
"230",3,0,"Lefebre, Miss. Mathilde","female",NA,3,1,"4133",25.4667,"","S"
"231",1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)","female",35,1,0,"36973",83.475,"C83","S"
"232",3,0,"Larsson, Mr. Bengt Edvin","male",29,0,0,"347067",7.775,"","S"
"233",2,0,"Sjostedt, Mr. Ernst Adolf","male",59,0,0,"237442",13.5,"","S"
"234",3,1,"Asplund, Miss. Lillian Gertrud","female",5,4,2,"347077",31.3875,"","S"
"235",2,0,"Leyson, Mr. Robert William Norman","male",24,0,0,"C.A. 29566",10.5,"","S"
"236",3,0,"Harknett, Miss. Alice Phoebe","female",NA,0,0,"W./C. 6609",7.55,"","S"
"237",2,0,"Hold, Mr. Stephen","male",44,1,0,"26707",26,"","S"
"238",2,1,"Collyer, Miss. Marjorie ""Lottie""","female",8,0,2,"C.A. 31921",26.25,"","S"
"239",2,0,"Pengelly, Mr. Frederick William","male",19,0,0,"28665",10.5,"","S"
"240",2,0,"Hunt, Mr. George Henry","male",33,0,0,"SCO/W 1585",12.275,"","S"
"241",3,0,"Zabour, Miss. Thamine","female",NA,1,0,"2665",14.4542,"","C"
"242",3,1,"Murphy, Miss. Katherine ""Kate""","female",NA,1,0,"367230",15.5,"","Q"
"243",2,0,"Coleridge, Mr. Reginald Charles","male",29,0,0,"W./C. 14263",10.5,"","S"
"244",3,0,"Maenpaa, Mr. Matti Alexanteri","male",22,0,0,"STON/O 2. 3101275",7.125,"","S"
"245",3,0,"Attalah, Mr. Sleiman","male",30,0,0,"2694",7.225,"","C"
"246",1,0,"Minahan, Dr. William Edward","male",44,2,0,"19928",90,"C78","Q"
"247",3,0,"Lindahl, Miss. Agda Thorilda Viktoria","female",25,0,0,"347071",7.775,"","S"
"248",2,1,"Hamalainen, Mrs. William (Anna)","female",24,0,2,"250649",14.5,"","S"
"249",1,1,"Beckwith, Mr. Richard Leonard","male",37,1,1,"11751",52.5542,"D35","S"
"250",2,0,"Carter, Rev. Ernest Courtenay","male",54,1,0,"244252",26,"","S"
"251",3,0,"Reed, Mr. James George","male",NA,0,0,"362316",7.25,"","S"
"252",3,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)","female",29,1,1,"347054",10.4625,"G6","S"
"253",1,0,"Stead, Mr. William Thomas","male",62,0,0,"113514",26.55,"C87","S"
"254",3,0,"Lobb, Mr. William Arthur","male",30,1,0,"A/5. 3336",16.1,"","S"
"255",3,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)","female",41,0,2,"370129",20.2125,"","S"
"256",3,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)","female",29,0,2,"2650",15.2458,"","C"
"257",1,1,"Thorne, Mrs. Gertrude Maybelle","female",NA,0,0,"PC 17585",79.2,"","C"
"258",1,1,"Cherry, Miss. Gladys","female",30,0,0,"110152",86.5,"B77","S"
"259",1,1,"Ward, Miss. Anna","female",35,0,0,"PC 17755",512.3292,"","C"
"260",2,1,"Parrish, Mrs. (Lutie Davis)","female",50,0,1,"230433",26,"","S"
"261",3,0,"Smith, Mr. Thomas","male",NA,0,0,"384461",7.75,"","Q"
"262",3,1,"Asplund, Master. Edvin Rojj Felix","male",3,4,2,"347077",31.3875,"","S"
"263",1,0,"Taussig, Mr. Emil","male",52,1,1,"110413",79.65,"E67","S"
"264",1,0,"Harrison, Mr. William","male",40,0,0,"112059",0,"B94","S"
"265",3,0,"Henry, Miss. Delia","female",NA,0,0,"382649",7.75,"","Q"
"266",2,0,"Reeves, Mr. David","male",36,0,0,"C.A. 17248",10.5,"","S"
"267",3,0,"Panula, Mr. Ernesti Arvid","male",16,4,1,"3101295",39.6875,"","S"
"268",3,1,"Persson, Mr. Ernst Ulrik","male",25,1,0,"347083",7.775,"","S"
"269",1,1,"Graham, Mrs. William Thompson (Edith Junkins)","female",58,0,1,"PC 17582",153.4625,"C125","S"
"270",1,1,"Bissette, Miss. Amelia","female",35,0,0,"PC 17760",135.6333,"C99","S"
"271",1,0,"Cairns, Mr. Alexander","male",NA,0,0,"113798",31,"","S"
"272",3,1,"Tornquist, Mr. William Henry","male",25,0,0,"LINE",0,"","S"
"273",2,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)","female",41,0,1,"250644",19.5,"","S"
"274",1,0,"Natsch, Mr. Charles H","male",37,0,1,"PC 17596",29.7,"C118","C"
"275",3,1,"Healy, Miss. Hanora ""Nora""","female",NA,0,0,"370375",7.75,"","Q"
"276",1,1,"Andrews, Miss. Kornelia Theodosia","female",63,1,0,"13502",77.9583,"D7","S"
"277",3,0,"Lindblom, Miss. Augusta Charlotta","female",45,0,0,"347073",7.75,"","S"
"278",2,0,"Parkes, Mr. Francis ""Frank""","male",NA,0,0,"239853",0,"","S"
"279",3,0,"Rice, Master. Eric","male",7,4,1,"382652",29.125,"","Q"
"280",3,1,"Abbott, Mrs. Stanton (Rosa Hunt)","female",35,1,1,"C.A. 2673",20.25,"","S"
"281",3,0,"Duane, Mr. Frank","male",65,0,0,"336439",7.75,"","Q"
"282",3,0,"Olsson, Mr. Nils Johan Goransson","male",28,0,0,"347464",7.8542,"","S"
"283",3,0,"de Pelsmaeker, Mr. Alfons","male",16,0,0,"345778",9.5,"","S"
