"","Zone","Year","Latitude","Longitude","Depth","Score1","Score2"
"143","Open","1993",-11.2,143.79,35,1.49393,1.18982
"144","Closed","1993",-11.62,143.8,31,-0.30103,2.16717
"145","Closed","1992",-11.53,143.82,30,-0.30103,2.31907
"146","Closed","1993",-11.38,143.84,37,0.59093,2.59179
"147","Closed","1992",-11.32,143.87,29,0.01814,2.18528
"148","Closed","1993",-11.43,143.87,23,0.83288,3.5486
"149","Closed","1993",-11.34,143.88,31,-0.30103,3.57759
"150","Open","1993",-11.23,143.88,35,-0.1325,2.18367
"151","Closed","1992",-11.3,143.89,32,-0.30103,2.31835
"152","Open","1992",-11.15,143.9,33,-0.30103,-0.30103
"153","Open","1992",-11.26,143.91,33,0.04624,1.69945
"154","Closed","1993",-11.39,143.92,35,-0.30103,0.71878
"155","Closed","1992",-11.42,143.93,37,-0.30103,1.81865
