"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","SalePrice","Porch.SF","Tot.Bath","House.Age"
"60","RL",75,10000,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,763,763,"GasA","Other","Y","SBrkr",763,892,0,1655,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",157,84,0,0,0,0,"No","No fence","None",0,4,2010,175900,84,2.5,16
"20","RL",0,7980,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Other","PConc","Gd","TA","No","ALQ",935,"Unf",0,233,1168,"GasA","Ex","Y","SBrkr",1187,0,0,1187,1,0,2,0,3,1,"TA",6,"Typ",0,"No fireplace","Attchd","Fin","2","TA","TA","Y",483,21,0,0,0,0,"No","Other","Other",500,3,2010,185000,21,3,3
"60","RL",63,8402,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,789,789,"GasA","Other","Y","SBrkr",789,676,0,1465,0,0,2,1,3,1,"TA",7,"Typ",1,"Gd","Attchd","Fin","2","TA","TA","Y",0,75,0,0,0,0,"No","No fence","None",0,5,2010,180400,75,2.5,12
"20","RL",85,10176,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Other","GLQ",637,"Unf",0,663,1300,"GasA","Other","Y","SBrkr",1341,0,0,1341,1,0,1,1,2,1,"Other",5,"Typ",1,"Other","Attchd","Unf","2","TA","TA","Y",192,0,0,0,0,0,"No","No fence","None",0,2,2010,171500,0,2.5,20
"120","RL",0,6820,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","StoneBr","Norm","Norm","Other","1Story",8,5,1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","Other","GLQ",368,"Other",1120,0,1488,"GasA","TA","Y","SBrkr",1502,0,0,1502,1,0,1,1,1,1,"Other",4,"Typ",0,"No fireplace","Attchd","RFn","2","TA","TA","Y",0,54,0,0,140,0,"No","No fence","None",0,6,2010,212000,194,2.5,25
"60","RL",47,53504,"Pave","No alley","Other","Other","AllPub","Other","Other","StoneBr","Norm","Norm","1Fam","Other",8,5,2003,2003,"Other","CompShg","CemntBd","Wd Shng","Other",603,"Other","TA","PConc","Gd","TA","Other","ALQ",1416,"Unf",0,234,1650,"GasA","Ex","Y","SBrkr",1690,1589,0,3279,1,0,3,1,4,1,"Other",12,"Other",1,"Gd","Other","Fin","Other","TA","TA","Y",503,36,0,0,210,0,"No","No fence","None",0,6,2010,538000,246,4.5,7
"50","RL",152,12134,"Pave","No alley","Other","Other","AllPub","Inside","Other","Gilbert","Norm","Norm","1Fam","Other",8,7,1988,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Other","TA","Other","Gd","TA","Other","GLQ",427,"Unf",0,132,559,"GasA","Other","Y","SBrkr",1080,672,0,1752,0,0,2,0,4,1,"TA",8,"Typ",0,"No fireplace","Other","RFn","2","TA","TA","Y",325,12,0,0,0,0,"No","No fence","None",0,6,2010,164000,12,2,5
"20","RL",140,19138,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","Gilbert","Norm","Norm","1Fam","1Story",4,5,1951,1951,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Other",120,"Unf",0,744,864,"GasA","Ex","Y","SBrkr",864,0,0,864,0,0,1,0,2,1,"TA",4,"Typ",0,"No fireplace","Other","Unf","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,6,2010,141000,0,1,59
"20","RL",85,13175,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1978,1988,"Gable","CompShg","Plywood","Plywood","Other",119,"TA","TA","CBlock","Gd","TA","No","ALQ",790,"Other",163,589,1542,"GasA","TA","Y","SBrkr",2073,0,0,2073,1,0,2,0,3,1,"TA",7,"Other",2,"TA","Attchd","Unf","2","TA","TA","Y",349,0,0,0,0,0,"No","Other","None",0,2,2010,210000,0,3,22
"20","RL",105,11751,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Other","CompShg","Plywood","Plywood","Other",480,"TA","TA","CBlock","Gd","TA","No","BLQ",705,"Unf",0,1139,1844,"GasA","Ex","Y","SBrkr",1844,0,0,1844,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd","RFn","2","TA","TA","Y",0,122,0,0,0,0,"No","Other","None",0,1,2010,190000,122,2,33
"20","RL",0,11241,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","Other",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","Other",700,3,2010,149000,0,2,40
"20","RL",0,12537,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1971,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",734,"Unf",0,344,1078,"GasA","Ex","Y","SBrkr",1078,0,0,1078,1,0,1,1,3,1,"TA",6,"Typ",1,"Other","Attchd","Fin","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,4,2010,149900,0,2.5,2
"20","RL",65,8450,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",775,"Unf",0,281,1056,"GasA","Ex","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"TA",6,"Typ",1,"Other","Attchd","Unf","Other","TA","TA","Y",0,85,184,0,0,0,"No","No fence","None",0,7,2010,142000,269,2,42
"20","RL",70,8400,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",804,"Other",78,0,882,"GasA","TA","Y","SBrkr",882,0,0,882,1,0,1,0,2,1,"TA",4,"Typ",0,"No fireplace","Attchd","Fin","2","TA","TA","Y",240,0,0,0,0,0,"No","Other","None",0,4,2010,126000,0,2,40
"20","RL",70,10500,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",432,"Unf",0,432,864,"GasA","TA","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",1,"Other","Other","Other","Other","Other","Other","Y",0,0,0,0,0,0,"No","No fence","None",0,4,2010,115000,0,1,39
"120","Other",26,5858,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","Other","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",1051,"Other",0,354,1405,"GasA","Ex","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Other",5,"Typ",1,"Other","Attchd","Fin","2","TA","TA","Y",203,68,0,0,0,0,"No","No fence","None",0,6,2010,184000,68,3,11
"160","Other",21,1680,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Other","Other",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","Other",504,"TA","TA","CBlock","TA","TA","No","Rec",156,"Unf",0,327,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ",0,"No fireplace","Other","Unf","Other","TA","TA","Y",275,0,0,0,0,0,"No","No fence","None",0,2,2010,96000,0,1.5,39
"160","Other",21,1680,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Other","Other",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","Other",492,"TA","TA","CBlock","TA","TA","No","Rec",300,"Unf",0,225,525,"GasA","TA","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"TA",6,"Typ",0,"No fireplace","Other","Unf","Other","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,3,2010,105500,0,1.5,39
"120","RL",53,4043,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Other","1Story",6,5,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",360,"Unf",0,709,1069,"GasA","TA","Y","SBrkr",1069,0,0,1069,0,0,2,0,2,1,"TA",4,"Typ",1,"Other","Attchd","RFn","2","TA","TA","Y",0,55,0,0,165,0,"No","No fence","None",0,7,2010,127500,220,2,33
"160","RL",24,2280,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","NPkVill","Norm","Norm","Other","Other",6,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",514,"Unf",0,341,855,"GasA","TA","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Other",6,"Typ",1,"TA","Attchd","Unf","2","TA","TA","Y",173,0,0,0,0,0,"No","No fence","None",0,6,2010,149900,0,2.5,35
"120","RL",24,2280,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","NPkVill","Norm","Norm","Other","1Story",7,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,836,836,"GasA","Ex","Y","SBrkr",836,0,0,836,0,0,1,0,2,1,"TA",4,"Typ",0,"No fireplace","Attchd","Unf","Other","TA","TA","Y",0,30,0,0,0,0,"No","No fence","None",0,6,2010,120000,30,1,35
"160","RL",24,2280,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Other","Other",6,5,1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",311,"Unf",0,544,855,"GasA","Other","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","Unf","2","TA","TA","Y",26,0,0,0,0,0,"No","No fence","None",0,7,2010,146000,0,2.5,32
"20","RL",98,11478,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Other",200,"Other","TA","PConc","Other","TA","No","GLQ",1218,"Unf",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Other",7,"Typ",1,"Gd","Attchd","RFn","Other","TA","TA","Y",0,50,0,0,0,0,"No","No fence","None",0,5,2010,306000,50,3,2
"20","RL",90,11520,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Other","Norm","1Fam","1Story",9,5,2005,2005,"Other","CompShg","VinylSd","VinylSd","Other",615,"Other","TA","PConc","Other","TA","No","GLQ",110,"Unf",0,1588,1698,"GasA","Ex","Y","SBrkr",1698,0,0,1698,0,0,2,0,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin","Other","TA","TA","Y",192,74,0,0,0,0,"No","No fence","None",0,6,2010,275000,74,2,5
"20","RL",79,14122,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Other","CompShg","CemntBd","CmentBd","Other",240,"Other","TA","PConc","Other","TA","No","GLQ",28,"Unf",0,1794,1822,"GasA","Ex","Y","SBrkr",1822,0,0,1822,0,0,2,0,3,1,"Other",8,"Typ",1,"Gd","Attchd","RFn","Other","TA","TA","Y",0,119,0,0,0,0,"No","No fence","None",0,2,2010,259000,119,2,4
"20","RL",70,10171,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Other",168,"Other","TA","PConc","Gd","TA","No","GLQ",2,"Unf",0,1515,1517,"GasA","Ex","Y","SBrkr",1535,0,0,1535,0,0,2,0,3,1,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,3,2010,214000,0,2,6
"20","RL",110,14300,"Pave","No alley","Reg","Other","AllPub","Inside","Other","NridgHt","Norm","Norm","1Fam","1Story",9,5,2003,2004,"Other","CompShg","VinylSd","VinylSd","Other",1095,"Other","TA","PConc","Other","TA","Other","GLQ",1373,"Unf",0,1473,2846,"GasA","Ex","Y","SBrkr",2696,0,0,2696,1,0,2,1,3,1,"Other",10,"Typ",2,"Gd","Attchd","Fin","Other","TA","TA","Y",220,150,0,0,0,0,"No","No fence","None",0,6,2010,500000,150,3.5,6
"60","RL",105,13650,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","NridgHt","Norm","Norm","1Fam","Other",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","Other",232,"Other","TA","PConc","Gd","TA","Other","GLQ",578,"Unf",0,1093,1671,"GasA","Ex","Y","SBrkr",1687,563,0,2250,1,0,2,1,3,1,"Other",7,"Typ",1,"Other","Attchd","Fin","Other","TA","TA","Y",238,130,0,0,0,0,"No","No fence","None",0,6,2010,320000,130,3.5,8
"120","RL",61,7658,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Other","1Story",9,5,2005,2005,"Other","CompShg","MetalSd","MetalSd","Other",412,"Other","TA","PConc","Other","TA","No","GLQ",456,"Unf",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Other",6,"Typ",1,"Gd","Attchd","RFn","2","TA","TA","Y",196,82,0,0,0,0,"No","No fence","None",0,2,2010,319900,82,3,5
"120","RL",41,7132,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Other","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Other",178,"Other","TA","PConc","Gd","TA","Other","GLQ",24,"Unf",0,1346,1370,"GasA","Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Other",6,"Typ",1,"Gd","Attchd","RFn","2","TA","TA","Y",120,49,0,0,0,0,"No","No fence","None",0,4,2010,205000,49,2,4
"160","RL",36,2628,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Other","Other",7,5,2003,2003,"Gable","CompShg","VinylSd","Wd Shng","Other",106,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,764,764,"GasA","Ex","Y","SBrkr",764,862,0,1626,0,0,2,1,2,1,"Other",6,"Typ",0,"No fireplace","Other","RFn","2","TA","TA","Y",0,27,0,0,0,0,"No","No fence","None",0,6,2010,175500,27,2.5,7
"20","RL",100,18494,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1324,1324,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","TA","TA","Y",36,23,0,0,0,0,"No","No fence","None",0,1,2010,199500,23,2,5
"120","RL",43,3203,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Other",14,"Other","TA","PConc","Gd","TA","Other","GLQ",16,"Unf",0,1129,1145,"GasA","Ex","Y","SBrkr",1145,0,0,1145,0,0,2,0,2,1,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","TA","TA","Y",100,116,0,0,0,0,"No","No fence","None",0,1,2010,160000,116,2,4
"120","RL",43,3182,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Other",16,"Other","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1232,1256,"GasA","Ex","Y","SBrkr",1269,0,0,1269,0,0,2,0,2,1,"Other",6,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",146,20,0,0,144,0,"No","No fence","None",0,4,2010,192000,164,2,5
"80","RL",67,13300,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",326,"Unf",0,58,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,1,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Other","Fin","2","TA","TA","Y",100,0,0,0,0,0,"No","No fence","None",0,6,2010,184500,0,3.5,6
"60","RL",0,7851,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",625,"Unf",0,235,860,"GasA","Ex","Y","SBrkr",860,1100,0,1960,1,0,2,1,4,1,"Other",8,"Typ",2,"TA","Other","Fin","2","TA","TA","Y",288,48,0,0,0,0,"No","No fence","None",0,5,2010,216500,48,3.5,8
"60","RL",63,8577,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,847,847,"GasA","Ex","Y","SBrkr",847,886,0,1733,0,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Other","Fin","2","TA","TA","Y",144,48,0,0,0,0,"No","No fence","None",0,4,2010,185088,48,2.5,6
"80","RL",0,7750,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",250,"Unf",0,134,384,"GasA","Ex","Y","SBrkr",774,656,0,1430,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin","2","TA","TA","Y",180,0,0,0,0,0,"No","No fence","None",0,4,2010,180000,0,2.5,10
"60","RL",0,9505,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","Other",180,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,884,884,"GasA","Ex","Y","SBrkr",884,1151,0,2035,0,0,2,1,3,1,"Other",8,"Typ",1,"Gd","Other","Fin","2","TA","TA","Y",144,48,0,0,0,0,"No","No fence","None",0,5,2010,222500,48,2.5,9
